adsh,grp,arc,negative,ptag,pversion,ctag,cversion
0001564590-14-003474,1,9,1,CapitalLeasesFutureMinimumPaymentsDue,us-gaap/2013,CapitalLeasesFutureMinimumPaymentsDue,us-gaap/2013
0001564590-14-003474,1,12,1,CapitalLeasesFutureMinimumPaymentsDue,us-gaap/2013,CapitalLeasesFutureMinimumPaymentsDue,us-gaap/2013
0001564590-14-003474,1,11,1,CapitalLeasesFutureMinimumPaymentsDue,us-gaap/2013,CapitalLeasesFutureMinimumPaymentsDue,us-gaap/2013
0001564590-14-003474,1,13,-1,CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,us-gaap/2013,CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,us-gaap/2013
0001564590-14-003474,1,7,1,CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,us-gaap/2013,CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,us-gaap/2013
0001564590-14-003474,1,2,1,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013
0001564590-14-003474,1,1,1,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013
0001564590-14-003474,1,6,1,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013
0001564590-14-003474,1,4,1,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013
0001564590-14-003474,1,5,1,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013
0001564590-14-003474,1,3,1,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013,OperatingLeasesFutureMinimumPaymentsDue,us-gaap/2013
